dialogue,summary
"The Wi-Fi in the library has been down for two days. I have an important research submission due tomorrow and I cannot access any journals. This is very frustrating.","Student reports library Wi-Fi outage hindering urgent research submission."
"The mess food today was undercooked and cold again. This is the third time this week. Many students are getting sick because of the poor hygiene. We need better quality control.","Complaint regarding persistent poor quality and hygiene of mess food."
"My room 305 has a severe leakage problem from the ceiling. It’s ruining my books and laptop. Please send maintenance immediately before anything else gets damaged.","Urgent request for maintenance to fix ceiling leakage in room 305."
"I applied for a leave of absence for the medical exam, but the portal is showing 'Pending' for over a week. My exam is in two days, please help.","Inquiry regarding delayed approval for medical leave on the university portal."
"The washing machine on the second floor has been broken for a week. We are unable to wash our clothes and it’s creating a lot of inconvenience for everyone in the hostel.","Report on broken hostel washing machine causing inconvenience to residents."
"I would like to request an extension for the Physics lab report. I was down with a fever for the last three days and have a medical certificate to support my claim.","Request for lab report extension due to medical reasons."
"The hostel warden is not allowing us to order food from outside after 9 PM. We study late and sometimes we are hungry. Can we please have an exemption?","Student requests exemption for late-night food deliveries."
"I submitted my exam fees last week, but I still haven't received a confirmation email or receipt. I am worried my registration might be cancelled.","Concern regarding non-receipt of exam fee confirmation."
"The elevator in Block B has been making weird screeching noises and getting stuck between floors. It's dangerous, please get it checked.","Safety concern regarding malfunctioning elevator in Block B."
"There are no dustbins in the hallway, so people are just leaving their trash on the floor. It smells terrible and is unhygienic. Please place some bins.","Request for additional trash bins in the hostel hallway due to littering."
"My scholarship amount has not been credited to my account yet. I need this money to pay my rent, and the deadline is tomorrow.","Inquiry regarding delay in scholarship fund disbursement."
"The study room on the first floor is always locked even during daytime. We need a place to sit and discuss our group project.","Request to keep the hostel study room open for group projects."
"The water filter on the third floor is leaking, and the floor is constantly wet. Someone is going to slip and get hurt.","Report on leaking water filter creating a safety hazard in the hostel."
"My ID card was lost last month. I applied for a replacement, but it hasn't been issued. I am facing trouble entering the campus.","Inquiry regarding long wait time for ID card replacement."
"The mess menu has been the same for the last two weeks. It's very repetitive and we would like to see some variety in the lunch options.","Student feedback requesting variety in the mess meal menu."
"The lights in the corridor are flickering and have gone out in some areas. It feels unsafe to walk back to my room at night.","Request for urgent repair of faulty lighting in hostel corridors."
"I found a cockroach in my room, and the pest control hasn't visited our floor for months. Please schedule an inspection.","Report on pest infestation and request for fumigation services."
"I am trying to register for my elective courses, but the system is showing an error every time I try to add the Advanced Data Structures class.","Technical support request for elective course registration error."
"The furniture in my room, specifically the desk, is broken and wobbling. It's impossible to write or use my laptop comfortably.","Maintenance request for replacement or repair of broken study desk."
"Our floor's common area is being used by outsiders. I don't feel comfortable leaving my things there anymore. Please restrict access.","Security concern regarding unauthorized persons in the hostel common area."
"The heater in the bathroom is not working. It’s winter, and taking a shower without hot water is impossible. Please prioritize this.","Urgent maintenance request for broken bathroom water heater."
"I was incorrectly marked absent for my final presentation. I have evidence that I was present. How can I get this corrected?","Request for correction of erroneous attendance record."
"The library is overcrowded, and people are talking loudly, making it impossible to concentrate. There is no one to monitor the noise levels.","Complaint regarding lack of noise control in the university library."
"We need more power outlets in the computer lab. Many students have to wait for someone else to finish just to charge their laptops.","Request for additional power outlets in the computer lab."
